name,ra,dec,half_light_radius(arcmin),helio_dist(kpc)
IC 4499,225.077,-82.214,1.71,18.8
E 3,140.238,-77.282,2.1,8.1
NGC 4372,186.439,-72.659,3.91,5.8
NGC 6101,246.45,-72.202,1.05,15.4
NGC 104,6.024,-72.081,3.17,4.5
NGC 4833,194.891,-70.876,2.41,6.6
NGC 362,15.809,-70.849,0.82,8.6
NGC 6362,262.979,-67.048,2.05,7.6
NGC 2808,138.013,-64.863,0.8,9.6
NGC 6752,287.717,-59.985,1.91,4.0
Lynga 7,242.765,-55.318,1.2,8.0
NGC 1261,48.068,-55.216,0.68,16.3
NGC 6397,265.175,-53.674,2.9,2.3
NGC 6584,274.657,-52.216,0.73,13.5
NGC 5286,206.612,-51.374,0.73,11.7
Rup 106,189.667,-51.15,1.05,21.2
NGC 5927,232.003,-50.673,1.1,7.7
NGC 5946,233.869,-50.66,0.89,10.6
BH 176,234.781,-50.053,0.9,18.9
AM 1,58.76,-49.615,0.41,123.3
NGC 6352,261.371,-48.422,2.05,5.6
NGC 5139,201.697,-47.48,5.0,5.2
FSR 1735,253.044,-47.058,0.34,9.8
ESO-SC06,272.275,-46.423,1.05,21.4
NGC 3201,154.403,-46.412,3.1,4.9
NGC 6388,264.072,-44.736,0.52,9.9
NGC 6496,269.765,-44.266,1.02,11.3
NGC 6541,272.01,-43.715,1.06,7.5
NGC 1851,78.528,-40.047,0.51,12.1
NGC 6380,263.617,-39.069,0.74,10.9
NGC 6139,246.918,-38.849,0.85,10.1
Ton 2,264.044,-38.553,1.3,8.2
NGC 5986,236.512,-37.786,0.98,10.4
Pyxis,136.991,-37.221,-9999.0,39.4
NGC 6256,254.886,-37.121,0.86,10.3
NGC 6441,267.554,-37.051,0.57,11.6
NGC 6723,284.888,-36.632,1.53,8.7
NGC 2298,102.248,-36.005,0.98,10.8
Terzan 3,247.167,-35.353,1.25,8.2
Terzan 7,289.433,-34.658,0.77,22.8
NGC 6453,267.715,-34.599,0.44,11.6
Terzan 8,295.435,-33.999,0.95,26.3
Liller 1,263.352,-33.389,-9999.0,8.2
NGC 5824,225.994,-33.068,0.45,32.1
Djorg 1,266.868,-33.066,1.59,13.7
NGC 6652,278.94,-32.991,0.48,10.0
NGC 6637,277.846,-32.348,0.84,8.8
NGC 6681,280.803,-32.292,0.71,9.0
NGC 6569,273.412,-31.827,0.8,10.9
NGC 6558,272.573,-31.764,2.15,7.4
Terzan 4,262.662,-31.596,1.85,7.2
Terzan 6,267.693,-31.275,0.44,6.8
NGC 6809,294.999,-30.965,2.83,5.4
Terzan 2,261.888,-30.802,1.52,7.5
NGC 6715,283.764,-30.48,0.82,26.5
Terzan 1,263.949,-30.47,3.82,6.7
NGC 6624,275.919,-30.361,0.82,7.9
Arp 2,292.184,-30.356,1.77,28.6
NGC 6266,255.303,-30.114,0.92,6.8
NGC 6528,271.207,-30.056,0.38,7.9
NGC 6522,270.892,-30.034,1.0,7.7
HP 1,262.772,-29.982,3.1,8.2
NGC 6304,258.634,-29.462,1.42,5.9
BH 261,273.528,-28.635,0.55,6.5
1636-283,249.856,-28.399,0.5,8.3
NGC 6316,259.155,-28.14,0.65,10.4
Djorg 2,270.455,-27.826,1.05,6.3
NGC 6540,271.536,-27.765,-9999.0,5.3
AM 4,209.09,-27.168,0.43,32.2
Terzan 9,270.412,-26.84,0.78,7.1
NGC 4590,189.867,-26.744,1.51,10.3
NGC 288,13.188,-26.583,2.23,8.9
NGC 6293,257.543,-26.582,0.89,9.5
NGC 5694,219.901,-26.539,0.4,35.0
NGC 6121,245.897,-26.526,4.33,2.2
NGC 6355,260.994,-26.353,0.88,9.2
NGC 6273,255.658,-26.268,1.32,8.8
Pal 6,265.926,-26.222,1.2,5.8
Terzan 10,270.902,-26.072,1.55,5.8
NGC 6144,246.808,-26.024,1.63,8.9
